0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/page_portal_daiban.action?_=1543796890498 HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/page_portal_yujing.action?_=1543796890513 HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/page_portal_bug.action?_=1543796890525 HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:11 +0800] "GET /bos-web/js/ztree/img/line_conn.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:13 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:13 +0800] "GET /bos-web/page_base_region.action HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:14 +0800] "POST /bos-web/regionAction_pageQuery.action HTTP/1.1" 500 7760
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "POST /bos-web/userAction_login.action HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:09 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
